orderID,productID,unitPrice,quantity,discount,customerID,employeeID,orderDate,revenue
10248,11,14.0,12,0.0,VINET,5,1996-07-04 00:00:00.000,168.0
10248,42,9.8,10,0.0,VINET,5,1996-07-04 00:00:00.000,98.0
10248,72,34.8,5,0.0,VINET,5,1996-07-04 00:00:00.000,174.0
10249,14,18.6,9,0.0,TOMSP,6,1996-07-05 00:00:00.000,167.4
10249,51,42.4,40,0.0,TOMSP,6,1996-07-05 00:00:00.000,1696.0
10250,41,7.7,10,0.0,HANAR,4,1996-07-08 00:00:00.000,77.0
10250,51,42.4,35,0.15,HANAR,4,1996-07-08 00:00:00.000,1261.3999999999999
10250,65,16.8,15,0.15,HANAR,4,1996-07-08 00:00:00.000,214.2
10251,22,16.8,6,0.05,VICTE,3,1996-07-08 00:00:00.000,95.76
10251,57,15.6,15,0.05,VICTE,3,1996-07-08 00:00:00.000,222.29999999999998
10251,65,16.8,20,0.0,VICTE,3,1996-07-08 00:00:00.000,336.0
10252,20,64.8,40,0.05,SUPRD,4,1996-07-09 00:00:00.000,2462.4
10252,33,2.0,25,0.05,SUPRD,4,1996-07-09 00:00:00.000,47.5
10252,60,27.2,40,0.0,SUPRD,4,1996-07-09 00:00:00.000,1088.0
10253,31,10.0,20,0.0,HANAR,3,1996-07-10 00:00:00.000,200.0
10253,39,14.4,42,0.0,HANAR,3,1996-07-10 00:00:00.000,604.8000000000001
10253,49,16.0,40,0.0,HANAR,3,1996-07-10 00:00:00.000,640.0
10254,24,3.6,15,0.15,CHOPS,5,1996-07-11 00:00:00.000,45.9
10254,55,19.2,21,0.15,CHOPS,5,1996-07-11 00:00:00.000,342.71999999999997
10254,74,8.0,21,0.0,CHOPS,5,1996-07-11 00:00:00.000,168.0
10255,2,15.2,20,0.0,RICSU,9,1996-07-12 00:00:00.000,304.0
10255,16,13.9,35,0.0,RICSU,9,1996-07-12 00:00:00.000,486.5
10255,36,15.2,25,0.0,RICSU,9,1996-07-12 00:00:00.000,380.0
10255,59,44.0,30,0.0,RICSU,9,1996-07-12 00:00:00.000,1320.0
10256,53,26.2,15,0.0,WELLI,3,1996-07-15 00:00:00.000,393.0
10256,77,10.4,12,0.0,WELLI,3,1996-07-15 00:00:00.000,124.80000000000001
10257,27,35.1,25,0.0,HILAA,4,1996-07-16 00:00:00.000,877.5
10257,39,14.4,6,0.0,HILAA,4,1996-07-16 00:00:00.000,86.4
10257,77,10.4,15,0.0,HILAA,4,1996-07-16 00:00:00.000,156.0
10258,2,15.2,50,0.2,ERNSH,1,1996-07-17 00:00:00.000,608.0
10258,5,17.0,65,0.2,ERNSH,1,1996-07-17 00:00:00.000,884.0
10258,32,25.6,6,0.2,ERNSH,1,1996-07-17 00:00:00.000,122.88000000000002
10259,21,8.0,10,0.0,CENTC,4,1996-07-18 00:00:00.000,80.0
10259,37,20.8,1,0.0,CENTC,4,1996-07-18 00:00:00.000,20.8
10260,41,7.7,16,0.25,OTTIK,4,1996-07-19 00:00:00.000,92.4
10260,57,15.6,50,0.0,OTTIK,4,1996-07-19 00:00:00.000,780.0
10260,62,39.4,15,0.25,OTTIK,4,1996-07-19 00:00:00.000,443.25
10260,70,12.0,21,0.25,OTTIK,4,1996-07-19 00:00:00.000,189.0
10261,21,8.0,20,0.0,QUEDE,4,1996-07-19 00:00:00.000,160.0
10261,35,14.4,20,0.0,QUEDE,4,1996-07-19 00:00:00.000,288.0
10262,5,17.0,12,0.2,RATTC,8,1996-07-22 00:00:00.000,163.20000000000002
10262,7,24.0,15,0.0,RATTC,8,1996-07-22 00:00:00.000,360.0
10262,56,30.4,2,0.0,RATTC,8,1996-07-22 00:00:00.000,60.8
10263,16,13.9,60,0.25,ERNSH,9,1996-07-23 00:00:00.000,625.5
10263,24,3.6,28,0.0,ERNSH,9,1996-07-23 00:00:00.000,100.8
10263,30,20.7,60,0.25,ERNSH,9,1996-07-23 00:00:00.000,931.5
10263,74,8.0,36,0.25,ERNSH,9,1996-07-23 00:00:00.000,216.0
10264,2,15.2,35,0.0,FOLKO,6,1996-07-24 00:00:00.000,532.0
10264,41,7.7,25,0.15,FOLKO,6,1996-07-24 00:00:00.000,163.625
10265,17,31.2,30,0.0,BLONP,2,1996-07-25 00:00:00.000,936.0
10265,70,12.0,20,0.0,BLONP,2,1996-07-25 00:00:00.000,240.0
10266,12,30.4,12,0.05,WARTH,3,1996-07-26 00:00:00.000,346.55999999999995
10267,40,14.7,50,0.0,FRANK,4,1996-07-29 00:00:00.000,735.0
10267,59,44.0,70,0.15,FRANK,4,1996-07-29 00:00:00.000,2618.0
10267,76,14.4,15,0.15,FRANK,4,1996-07-29 00:00:00.000,183.6
10268,29,99.0,10,0.0,GROSR,8,1996-07-30 00:00:00.000,990.0
10268,72,27.8,4,0.0,GROSR,8,1996-07-30 00:00:00.000,111.2
10269,33,2.0,60,0.05,WHITC,5,1996-07-31 00:00:00.000,114.0
10269,72,27.8,20,0.05,WHITC,5,1996-07-31 00:00:00.000,528.1999999999999
10270,36,15.2,30,0.0,WARTH,1,1996-08-01 00:00:00.000,456.0
10270,43,36.8,25,0.0,WARTH,1,1996-08-01 00:00:00.000,919.9999999999999
10271,33,2.0,24,0.0,SPLIR,6,1996-08-01 00:00:00.000,48.0
10272,20,64.8,6,0.0,RATTC,6,1996-08-02 00:00:00.000,388.79999999999995
10272,31,10.0,40,0.0,RATTC,6,1996-08-02 00:00:00.000,400.0
10272,72,27.8,24,0.0,RATTC,6,1996-08-02 00:00:00.000,667.2
10273,10,24.8,24,0.05,QUICK,3,1996-08-05 00:00:00.000,565.44
10273,31,10.0,15,0.05,QUICK,3,1996-08-05 00:00:00.000,142.5
10273,33,2.0,20,0.0,QUICK,3,1996-08-05 00:00:00.000,40.0
10273,40,14.7,60,0.05,QUICK,3,1996-08-05 00:00:00.000,837.9
10273,76,14.4,33,0.05,QUICK,3,1996-08-05 00:00:00.000,451.43999999999994
10274,71,17.2,20,0.0,VINET,6,1996-08-06 00:00:00.000,344.0
10274,72,27.8,7,0.0,VINET,6,1996-08-06 00:00:00.000,194.6
10275,24,3.6,12,0.05,MAGAA,1,1996-08-07 00:00:00.000,41.04
10275,59,44.0,6,0.05,MAGAA,1,1996-08-07 00:00:00.000,250.79999999999998
10276,10,24.8,15,0.0,TORTU,8,1996-08-08 00:00:00.000,372.0
10276,13,4.8,10,0.0,TORTU,8,1996-08-08 00:00:00.000,48.0
10277,28,36.4,20,0.0,MORGK,2,1996-08-09 00:00:00.000,728.0
10277,62,39.4,12,0.0,MORGK,2,1996-08-09 00:00:00.000,472.79999999999995
10278,44,15.5,16,0.0,BERGS,8,1996-08-12 00:00:00.000,248.0
10278,59,44.0,15,0.0,BERGS,8,1996-08-12 00:00:00.000,660.0
10278,63,35.1,8,0.0,BERGS,8,1996-08-12 00:00:00.000,280.8
10278,73,12.0,25,0.0,BERGS,8,1996-08-12 00:00:00.000,300.0
10279,17,31.2,15,0.25,LEHMS,8,1996-08-13 00:00:00.000,351.0
10280,24,3.6,12,0.0,BERGS,2,1996-08-14 00:00:00.000,43.2
10280,55,19.2,20,0.0,BERGS,2,1996-08-14 00:00:00.000,384.0
10280,75,6.2,30,0.0,BERGS,2,1996-08-14 00:00:00.000,186.0
10281,19,7.3,1,0.0,ROMEY,4,1996-08-14 00:00:00.000,7.3
10281,24,3.6,6,0.0,ROMEY,4,1996-08-14 00:00:00.000,21.6
10281,35,14.4,4,0.0,ROMEY,4,1996-08-14 00:00:00.000,57.6
10282,30,20.7,6,0.0,ROMEY,4,1996-08-15 00:00:00.000,124.19999999999999
10282,57,15.6,2,0.0,ROMEY,4,1996-08-15 00:00:00.000,31.2
10283,15,12.4,20,0.0,LILAS,3,1996-08-16 00:00:00.000,248.0
10283,19,7.3,18,0.0,LILAS,3,1996-08-16 00:00:00.000,131.4
10283,60,27.2,35,0.0,LILAS,3,1996-08-16 00:00:00.000,952.0
10283,72,27.8,3,0.0,LILAS,3,1996-08-16 00:00:00.000,83.4
10284,27,35.1,15,0.25,LEHMS,4,1996-08-19 00:00:00.000,394.875
10284,44,15.5,21,0.0,LEHMS,4,1996-08-19 00:00:00.000,325.5
10284,60,27.2,20,0.25,LEHMS,4,1996-08-19 00:00:00.000,408.0
10284,67,11.2,5,0.25,LEHMS,4,1996-08-19 00:00:00.000,42.0
10285,1,14.4,45,0.2,QUICK,1,1996-08-20 00:00:00.000,518.4
10285,40,14.7,40,0.2,QUICK,1,1996-08-20 00:00:00.000,470.40000000000003
10285,53,26.2,36,0.2,QUICK,1,1996-08-20 00:00:00.000,754.56
10286,35,14.4,100,0.0,QUICK,8,1996-08-21 00:00:00.000,1440.0
10286,62,39.4,40,0.0,QUICK,8,1996-08-21 00:00:00.000,1576.0
